region,BL,NL,C3,C4,shrub,bare_soil
North_America,0.1159773003288635,0.16335700037845247,0.25829892478796823,0.05440415096856073,0.10618304933776657,0.262414512665096
South_America,0.41387225635930047,0.0060302917411284365,0.20860010734213444,0.13424481211155662,0.08855665485021048,0.13042190036910026
Europe,0.0697798107642616,0.11776175403981637,0.5114198243852095,0.05991944970550333,0.043705571527689904,0.15383632250982138
Africa,0.20239274577790234,0.0036073607380515994,0.15923468231826823,0.1442241949586237,0.07751897611629038,0.4045440119069774
North_Asia,0.12065257063808707,0.2200293225727649,0.28561257959402603,0.03916062512397515,0.08700111527443466,0.21598853274690447
Central_Asia,0.012272035325699588,0.007460146635209047,0.23891295504207902,0.07639287701824282,0.1275142386901178,0.5187376182971477
East_Asia,0.07900656541040882,0.05036824082326502,0.3846959001043112,0.0840617782162667,0.0970875092245972,0.2943145413884461
South_Asia,0.06465713327812203,0.016223314172822717,0.5035280150286029,0.05741779476706713,0.07578349503836493,0.26851924763210866
South_East_Asia,0.4581417621592934,0.021257291121918924,0.2702524879712084,0.10314610231076868,0.032414685896641426,0.10534924010590253
Oceania,0.1198769023924512,0.0,0.14148581401019827,0.23838971839184275,0.20189521215766135,0.2967290852593642
global,0.17265154217776799,0.06793512224029724,0.2563266726291417,0.10037563782667519,0.09385554564148606,0.2874955590079165
